        	acceptance	adoration	affection	aggravation	agitation	agony   	alarm   	alienation	amusement	anger   	anguish 	annoyance	anticipation	anxiety 	apprehension	arousal 	attraction	aversion	bitterness	bliss   	compassion	contempt	courage 	defeat  	dejection	delight 	depression	desire  	despair 	disappointment	disgust 	dislike 	dismay  	displeasure	distress	dread   	eagerness	ecstasy 	elation 	embarrassment	enthusiasm	envy    	euphoria	exasperation	excitement	exhilaration	fear    	ferocity	fondness	fright  	frustration	fury    	gaiety  	gladness	glee    	gloom   	glumness	grief   	grouchiness	grumpiness	guilt   	happiness	hate    	homesickness	hope    	hopelessness	horror  	hostility	humiliation	hurt    	hysteria	infatuation	insecurity	insult  	interest	irritation	isolation	jealousy	jolliness	joviality	joy     	jubilation	liking  	loathing	loneliness	love    	lust    	melancholy	misery  	mortification	neglect 	optimism	outrage 	pain    	panic   	passion 	pity    	pleasure	pride   	rage    	rapture 	regret  	rejection	relief  	remorse 	resentment	revulsion	sadness 	satisfaction	scorn   	shame   	shock   	sorrow  	spite   	suffering	surprise	sympathy	tenderness	tenseness	terror  	thrill  	torment 	triumph 	uneasiness	unhappiness	vengefulness	woe     	wonder  	worry   	wrath   	zeal    	zest    	
acceptance	1.000000	0.142451	0.119932	0.155250	0.098805	0.086132	0.161053	0.130632	0.189341	0.207537	0.164207	0.156639	0.166444	0.123483	0.138005	0.148171	0.132110	0.084456	0.159618	0.067566	0.150383	0.165041	0.164646	0.132493	0.159116	0.117271	0.136177	0.128579	0.126119	0.138781	0.180291	0.128795	0.159190	0.089003	0.146622	0.118783	0.128520	0.098157	0.167942	0.098900	0.122292	0.140721	0.136134	0.142475	0.142010	0.162736	0.187412	0.096833	0.090212	0.138750	0.160239	0.115755	0.095958	0.152836	0.065826	0.132414	0.083441	0.129517	0.093077	0.114873	0.119473	0.158965	0.145601	0.103003	0.142104	0.150865	0.096506	0.125012	0.122408	0.180015	0.091426	0.123984	0.156915	0.156744	0.146393	0.136526	0.125807	0.134295	0.093191	0.131083	0.339557	0.086940	0.112101	0.159094	0.123225	0.163961	0.151649	0.146026	0.125971	0.131902	0.103465	0.102262	0.121955	0.131623	0.072872	0.145999	0.126396	0.120408	0.122984	0.153674	0.118022	0.123550	0.152668	0.129889	0.116841	0.152981	0.157329	0.289299	0.107150	0.112819	0.118961	0.178312	0.166262	0.136464	0.168199	0.216077	0.132791	0.139715	0.113604	0.090293	0.121031	0.150551	0.102643	0.083154	0.157978	0.153029	0.115132	0.137675	0.152372	0.102973	0.074005	0.136466	
adoration	0.142451	1.000000	0.241626	0.258524	0.206784	0.172185	0.207119	0.149130	0.168805	0.145773	0.179942	0.209556	0.193518	0.086730	0.145651	0.151340	0.204668	0.086471	0.136752	0.094103	0.146242	0.125853	0.139949	0.123304	0.170581	0.167110	0.093868	0.140720	0.166233	0.120873	0.085584	0.150042	0.172797	0.152453	0.103144	0.113052	0.201768	0.104742	0.147949	0.093071	0.201678	0.139022	0.108208	0.184537	0.203347	0.226410	0.109437	0.192455	0.317649	0.134325	0.143242	0.146303	0.148995	0.156867	0.043033	0.149303	0.065978	0.091108	0.101992	0.151976	0.117266	0.112984	0.197305	0.098216	0.107510	0.174877	0.081113	0.156813	0.130655	0.144770	0.117289	0.184617	0.145031	0.120917	0.200877	0.124069	0.124385	0.116767	0.069263	0.117386	0.213005	0.153456	0.258762	0.155979	0.117003	0.279067	0.196523	0.122543	0.122906	0.103584	0.109961	0.125407	0.151206	0.104564	0.052051	0.188049	0.116291	0.137689	0.115652	0.160839	0.138085	0.081287	0.132299	0.113335	0.150324	0.145370	0.186895	0.200358	0.125254	0.111414	0.109987	0.132365	0.192345	0.180025	0.125808	0.201375	0.135236	0.244071	0.160265	0.113769	0.162292	0.162594	0.134298	0.110133	0.149827	0.145031	0.127796	0.150698	0.111630	0.077076	0.117198	0.162331	
affection	0.119932	0.241626	1.000000	0.160431	0.117380	0.122662	0.162515	0.150708	0.126484	0.142368	0.161367	0.157960	0.123282	0.115625	0.119535	0.153741	0.107438	0.095779	0.099825	0.073517	0.164467	0.098928	0.159003	0.098242	0.120735	0.103814	0.088180	0.126768	0.108831	0.130421	0.087679	0.148373	0.115211	0.110907	0.119110	0.117277	0.158281	0.115591	0.121854	0.085705	0.156368	0.140584	0.165552	0.121173	0.158689	0.152588	0.115491	0.103580	0.330355	0.102126	0.144314	0.136002	0.111322	0.092327	0.066100	0.155485	0.098136	0.093089	0.073544	0.112045	0.093669	0.117648	0.156989	0.082462	0.125226	0.099164	0.060463	0.099865	0.087578	0.139984	0.093327	0.200791	0.138937	0.152752	0.149982	0.135696	0.094731	0.108076	0.092159	0.081447	0.154137	0.113274	0.231264	0.135008	0.170222	0.259594	0.158773	0.187076	0.089140	0.156315	0.077715	0.079533	0.104597	0.107355	0.057714	0.165057	0.089763	0.095077	0.101258	0.142154	0.168391	0.083109	0.108387	0.104786	0.110943	0.134989	0.115252	0.178639	0.084447	0.122095	0.093318	0.183048	0.167817	0.111182	0.118167	0.117792	0.120740	0.208522	0.091874	0.100011	0.196376	0.147329	0.107871	0.095382	0.132202	0.144010	0.098008	0.141940	0.104710	0.102725	0.110639	0.135322	
aggravation	0.155250	0.258524	0.160431	1.000000	0.297436	0.149637	0.200768	0.187131	0.180542	0.234222	0.205416	0.413932	0.175019	0.101378	0.162025	0.176709	0.125849	0.084123	0.155587	0.060171	0.151226	0.163015	0.139272	0.148576	0.217755	0.155863	0.111281	0.129156	0.151118	0.146503	0.135179	0.158575	0.183606	0.141781	0.120351	0.103794	0.169456	0.083043	0.155179	0.132732	0.149927	0.125169	0.129371	0.259210	0.165576	0.204864	0.138312	0.150366	0.153630	0.126473	0.241888	0.144799	0.132007	0.157446	0.049325	0.155719	0.076824	0.111076	0.378080	0.318074	0.148857	0.152032	0.175814	0.103312	0.119815	0.181001	0.089540	0.166558	0.126208	0.220442	0.098928	0.112953	0.154764	0.175647	0.161929	0.369242	0.132756	0.109015	0.068784	0.125349	0.206757	0.143698	0.120099	0.166082	0.107596	0.121269	0.143492	0.133409	0.139467	0.140783	0.125740	0.120817	0.148541	0.140522	0.057002	0.157521	0.096295	0.140053	0.116915	0.173106	0.126993	0.102744	0.121163	0.146728	0.143827	0.182254	0.198314	0.247107	0.108111	0.118848	0.121174	0.177085	0.189273	0.169630	0.150865	0.246304	0.128798	0.184288	0.172589	0.105566	0.140838	0.182140	0.123135	0.120787	0.184355	0.182235	0.121354	0.144832	0.124474	0.113988	0.088106	0.160914	
agitation	0.098805	0.206784	0.117380	0.297436	1.000000	0.115039	0.138520	0.125355	0.140629	0.092112	0.132141	0.230523	0.145520	0.083023	0.134013	0.103199	0.086931	0.071861	0.114684	0.095402	0.109057	0.103286	0.110269	0.084013	0.132083	0.147775	0.083271	0.115130	0.138743	0.091906	0.081061	0.124428	0.139746	0.117421	0.084357	0.091657	0.141949	0.076423	0.146366	0.071569	0.141576	0.106259	0.086929	0.203017	0.225465	0.162142	0.105067	0.140650	0.128184	0.105787	0.123148	0.098911	0.109587	0.106499	0.036068	0.105755	0.042033	0.055731	0.288448	0.224915	0.101346	0.068893	0.185021	0.085823	0.090952	0.120949	0.055093	0.118036	0.088332	0.115242	0.109633	0.116416	0.101858	0.086071	0.161517	0.221112	0.095119	0.083562	0.038662	0.083373	0.139456	0.105352	0.090310	0.109552	0.080520	0.139724	0.133476	0.068631	0.092462	0.066715	0.106414	0.096155	0.127294	0.071970	0.039857	0.182433	0.085715	0.099218	0.088729	0.130114	0.087170	0.069147	0.093825	0.072689	0.104545	0.109533	0.144654	0.126065	0.088049	0.093726	0.089823	0.095967	0.154358	0.129689	0.088933	0.137736	0.090027	0.129671	0.120525	0.084383	0.115579	0.122950	0.109162	0.115063	0.119483	0.111243	0.086099	0.107394	0.084911	0.071902	0.085589	0.110278	
agony   	0.086132	0.172185	0.122662	0.149637	0.115039	1.000000	0.166940	0.152198	0.081799	0.081640	0.236132	0.108027	0.107541	0.077520	0.085227	0.132107	0.082004	0.048499	0.080019	0.082825	0.122246	0.075141	0.143135	0.152849	0.093502	0.103473	0.073906	0.095082	0.120960	0.098514	0.059337	0.110938	0.082403	0.086735	0.096430	0.089077	0.124989	0.111392	0.115584	0.046708	0.130295	0.106385	0.136555	0.096443	0.113258	0.112871	0.056911	0.101939	0.092093	0.085088	0.093326	0.109533	0.105843	0.067105	0.083277	0.153049	0.099094	0.062971	0.049653	0.086508	0.082647	0.079552	0.106396	0.059919	0.103367	0.084976	0.058113	0.082086	0.064968	0.149190	0.088632	0.096394	0.092424	0.097850	0.105410	0.100388	0.091657	0.097950	0.079374	0.069056	0.109422	0.113616	0.091789	0.103952	0.108816	0.133449	0.119437	0.170801	0.090274	0.119354	0.080273	0.066422	0.092583	0.146850	0.036955	0.119704	0.074377	0.091438	0.085584	0.107656	0.157875	0.078750	0.082418	0.092177	0.087813	0.093417	0.096595	0.181615	0.072674	0.103470	0.077034	0.144870	0.166281	0.093903	0.220818	0.109811	0.080126	0.142016	0.083501	0.081100	0.183525	0.178260	0.091107	0.069251	0.095720	0.109970	0.080489	0.127370	0.085558	0.073122	0.103696	0.104841	
alarm   	0.161053	0.207119	0.162515	0.200768	0.138520	0.166940	1.000000	0.206059	0.154267	0.140584	0.217145	0.174055	0.188937	0.167613	0.201337	0.216878	0.129928	0.083963	0.118560	0.130702	0.169695	0.129937	0.236533	0.129899	0.148201	0.165670	0.119183	0.139658	0.134472	0.155060	0.107306	0.173070	0.192955	0.135433	0.164541	0.272278	0.188991	0.128697	0.182905	0.077405	0.198097	0.158467	0.203039	0.154792	0.179787	0.189508	0.244639	0.145072	0.121205	0.289091	0.162138	0.159630	0.149572	0.107805	0.084264	0.206608	0.119733	0.107914	0.077456	0.123911	0.112464	0.116148	0.147773	0.072755	0.163041	0.116077	0.166934	0.114601	0.127415	0.156682	0.124207	0.119939	0.157728	0.182462	0.170068	0.159763	0.138214	0.114128	0.129888	0.096725	0.162595	0.148710	0.127522	0.189934	0.163777	0.159314	0.150434	0.267538	0.113806	0.243707	0.122233	0.100041	0.140943	0.127963	0.101114	0.179089	0.132400	0.124414	0.106883	0.175146	0.234722	0.116364	0.120791	0.134418	0.122999	0.133717	0.145357	0.232370	0.106849	0.137713	0.124555	0.308805	0.201024	0.146483	0.135711	0.157077	0.179442	0.232364	0.154497	0.214088	0.276480	0.147398	0.150231	0.130083	0.130177	0.169291	0.113092	0.195622	0.156480	0.112329	0.144360	0.152065	
alienation	0.130632	0.149130	0.150708	0.187131	0.125355	0.152198	0.206059	1.000000	0.133778	0.149720	0.219854	0.170436	0.148054	0.153654	0.139458	0.176419	0.110887	0.073230	0.134533	0.105011	0.146822	0.114160	0.158078	0.133805	0.192445	0.121160	0.145388	0.108879	0.112055	0.140229	0.102248	0.126403	0.140536	0.116120	0.131647	0.120102	0.145836	0.111837	0.149246	0.102762	0.135411	0.133215	0.144528	0.123407	0.141148	0.158473	0.124404	0.112218	0.104552	0.105717	0.135351	0.126836	0.117224	0.099049	0.079944	0.166589	0.097852	0.105724	0.084541	0.124904	0.170411	0.104305	0.125099	0.154683	0.134783	0.134372	0.100793	0.120110	0.135843	0.164765	0.106981	0.112476	0.169488	0.148205	0.140707	0.134907	0.212300	0.105308	0.091590	0.099922	0.144508	0.111715	0.115451	0.140398	0.212354	0.146176	0.145687	0.171226	0.118903	0.153915	0.190301	0.110034	0.129423	0.110066	0.067050	0.157224	0.095833	0.108252	0.104312	0.147337	0.153385	0.135290	0.166125	0.119337	0.157118	0.141753	0.118647	0.184699	0.098441	0.111427	0.171031	0.194495	0.167784	0.125792	0.133392	0.136544	0.118267	0.165741	0.115931	0.101509	0.163505	0.131825	0.122979	0.098445	0.126447	0.167239	0.098564	0.159256	0.135302	0.111957	0.102224	0.136730	
amusement	0.189341	0.168805	0.126484	0.180542	0.140629	0.081799	0.154267	0.133778	1.000000	0.227331	0.196222	0.229502	0.211018	0.082314	0.218964	0.132053	0.091464	0.096487	0.149906	0.092497	0.138044	0.201057	0.138457	0.100362	0.199631	0.166930	0.088703	0.106078	0.136645	0.118105	0.192066	0.130146	0.169026	0.128127	0.109436	0.123136	0.160194	0.071914	0.187018	0.123994	0.132407	0.117376	0.127205	0.181899	0.165530	0.190920	0.219955	0.124723	0.128772	0.151931	0.144626	0.132661	0.218845	0.177090	0.074958	0.155376	0.096432	0.080289	0.106270	0.128273	0.106597	0.142661	0.130224	0.077568	0.108651	0.173515	0.090926	0.158698	0.131236	0.182906	0.078769	0.145072	0.145337	0.150826	0.174894	0.160509	0.106809	0.106126	0.177927	0.211846	0.261753	0.111734	0.113330	0.170983	0.115755	0.104334	0.140341	0.097485	0.124735	0.124643	0.082528	0.118088	0.148082	0.090039	0.052071	0.114233	0.093862	0.126710	0.123751	0.179433	0.104501	0.075843	0.108365	0.100362	0.133752	0.152203	0.207648	0.315947	0.093605	0.109331	0.113580	0.181612	0.155384	0.152026	0.108301	0.240491	0.114748	0.172194	0.147604	0.096958	0.112561	0.148220	0.118756	0.104446	0.170000	0.193257	0.121906	0.130523	0.110572	0.144542	0.082059	0.131865	
anger   	0.207537	0.145773	0.142368	0.234222	0.092112	0.081640	0.140584	0.149720	0.227331	1.000000	0.178082	0.313003	0.176579	0.186565	0.116447	0.119966	0.168637	0.140726	0.255017	0.075286	0.154415	0.189082	0.139583	0.140874	0.163055	0.119063	0.226143	0.132303	0.158528	0.179512	0.167261	0.131386	0.160043	0.176676	0.130784	0.091661	0.140331	0.101988	0.158871	0.121694	0.132785	0.156804	0.123684	0.232596	0.168400	0.144266	0.202946	0.126573	0.072999	0.123126	0.313918	0.190040	0.096321	0.118427	0.065196	0.083406	0.049204	0.196991	0.099793	0.179552	0.145320	0.202195	0.151423	0.135477	0.146224	0.195252	0.104974	0.213842	0.139081	0.299441	0.083233	0.149837	0.163019	0.226999	0.152934	0.266397	0.102872	0.217619	0.043302	0.163153	0.189711	0.080613	0.107172	0.112099	0.141094	0.186617	0.134480	0.114191	0.120280	0.130308	0.117545	0.102375	0.231735	0.121635	0.097492	0.178165	0.101316	0.093222	0.146530	0.251289	0.070044	0.112146	0.106248	0.190922	0.158698	0.348385	0.192641	0.313538	0.116201	0.092776	0.149012	0.225529	0.183280	0.160206	0.161911	0.246164	0.133346	0.180726	0.101266	0.078932	0.089839	0.154922	0.097250	0.115112	0.257425	0.245080	0.095752	0.142182	0.165849	0.327052	0.080565	0.149120	
